job_id,submit_time,real_iteration,model_name,ddl,batch_size,num_gpu,real_duration,duration,iteration
0,0,1282877,vgg16,771220,256,1,976570,976570,1282877
1,219316,26446831,vgg16,2065619,64,4,1792395,1792395,26446831
2,251674,118680,vgg16,281132,64,1,23487,23487,118680
3,251699,83535,bert,279709,128,1,23367,23367,83535
4,256418,75833,resnet50,272884,64,1,11082,11082,75833
5,256458,30901,vgg16,269135,128,1,11773,11773,30901
6,256459,26815,resnet50,264444,256,1,14547,14547,26815
7,258863,82012,gpt2,265982,128,1,11221,11221,82012
8,258886,77702,resnet50,270991,64,1,11355,11355,77702
9,258888,93783,resnet50,273213,64,1,13705,13705,93783
10,259585,29604,vgg16,267922,128,1,11279,11279,29604
11,259600,21442,resnet50,269623,256,1,11632,11632,21442
12,259609,40666,resnet50,273980,128,1,11125,11125,40666
13,262503,70769,bert,270864,64,1,11735,11735,70769
14,262517,54415,inception3,271924,64,1,11288,11288,54415
15,262523,59317,vgg16,274296,64,1,11739,11739,59317
16,268877,684246,bert,329690,128,4,80967,80967,684246
17,273432,893536,gpt2,331219,256,4,78103,78103,893536
18,274530,367863,vgg16,375412,256,4,79249,79249,367863
19,276110,2081687,gpt2,450642,256,4,181958,181958,2081687
20,308826,101695,gpt2,341152,256,1,24820,24820,101695
21,309095,86034,bert,333973,128,1,24066,24066,86034
22,310067,126992,vgg16,322697,64,1,25132,25132,126992
23,310087,116389,inception3,342111,64,1,24144,24144,116389
24,314356,821,vgg16,314834,256,1,625,625,821
25,314378,2380,bert,315330,128,1,666,666,2380
26,328412,133235,bert,344661,64,1,22093,22093,133235
27,328414,34870,deepspeech2,343582,64,1,21795,21795,34870
28,365624,790238,bert,416400,128,4,93509,93509,790238
29,368092,2764016,resnet50,576633,64,4,151048,151048,2764016
30,396126,63294,vgg16,454891,256,1,48182,48182,63294
31,409806,106382,inception3,437878,64,1,22068,22068,106382
32,409827,80897,resnet50,421715,128,1,22131,22131,80897
33,438136,1600493,vgg16,578977,128,4,183527,183527,1600493
34,445554,44581,vgg16,449585,64,2,4934,4934,44581
35,485979,1201,resnet50,486588,256,1,652,652,1201
36,499454,35029,resnet50,520999,256,1,19003,19003,35029
37,552756,97594,gpt2,584424,256,1,23819,23819,97594
38,559930,71134,deepspeech2,595056,32,1,23530,23530,71134
39,571052,43960,resnet50,603787,256,1,23848,23848,43960
40,571334,4194,resnet50,572100,64,1,613,613,4194
41,580807,2075212,inception3,939716,64,2,253382,253382,2075212
42,587485,2298351,vgg16,820984,64,2,254365,254365,2298351
43,595709,2236983,bert,768630,64,2,258806,258806,2236983
44,625627,1036,deepspeech2,626201,64,1,648,648,1036
45,627863,3176,resnet50,628796,128,1,869,869,3176
46,658517,2398,bert,659443,128,1,671,671,2398
47,658521,1921,vgg16,659578,128,1,732,732,1921
48,667980,95283,gpt2,685474,256,1,23255,23255,95283
49,667990,59365,inception3,689405,128,1,23169,23169,59365
50,693194,878227,vgg16,811453,256,4,189197,189197,878227
51,693196,1912370,bert,842567,64,4,184658,184658,1912370
52,714019,552311,gpt2,773775,256,2,79358,79358,552311
53,743407,2401,resnet50,744090,128,1,657,657,2401
54,917930,2377,bert,918617,128,1,665,665,2377
55,977077,24209,vgg16,997256,256,1,18429,18429,24209
56,996104,1914417,inception3,1204567,64,2,233749,233749,1914417
57,1060037,4589,bert,1060775,64,1,761,761,4589
58,1070705,80543,bert,1100928,128,1,22530,22530,80543
59,1070705,34231,resnet50,1096046,256,1,18570,18570,34231
60,1070742,67759,resnet50,1089516,128,1,18537,18537,67759
61,1070743,138816,gpt2,1095777,128,1,18993,18993,138816
62,1085610,40100,resnet50,1112173,256,1,21754,21754,40100
63,1085610,79584,bert,1117482,128,1,22262,22262,79584
64,1088036,36461,resnet50,1099985,256,1,19780,19780,36461
65,1088037,51254,vgg16,1104597,128,1,19527,19527,51254
66,1089801,23357,resnet50,1092022,128,4,2081,2081,23357
67,1090064,27134,resnet50,1095524,256,4,4383,4383,27134
68,1090067,38781,vgg16,1093843,128,4,4447,4447,38781
69,1094822,34832,gpt2,1096535,128,4,2090,2090,34832
70,1108307,1531852,vgg16,1321304,128,4,175656,175656,1531852
71,1122029,1405834,deepspeech2,1382297,32,4,186353,186353,1405834
72,1122645,48454,resnet50,1128477,128,4,4317,4317,48454
73,1122645,32280,deepspeech2,1125438,32,4,4279,4279,32280
74,1148546,77667,deepspeech2,1169857,32,1,25691,25691,77667
75,1148547,187091,gpt2,1172351,128,1,25598,25598,187091
76,1151950,51835,inception3,1181507,128,1,20230,20230,51835
77,1176018,1572342,vgg16,1360630,128,4,180299,180299,1572342
78,1179128,2199842,inception3,1273880,64,4,188130,188130,2199842
79,1184261,182216,gpt2,1201165,128,1,24931,24931,182216
80,1184265,100167,gpt2,1205811,256,1,24447,24447,100167
81,1196785,120282,vgg16,1214986,64,1,23804,23804,120282
82,1196788,87575,resnet50,1217324,128,1,23958,23958,87575
83,1209585,2946,resnet50,1210271,128,1,806,806,2946
84,1221987,2082648,gpt2,1434435,256,4,182042,182042,2082648
85,1222004,1135469,resnet50,1342650,256,4,183412,183412,1135469
86,1281443,158620,resnet50,1308637,64,1,23180,23180,158620
87,1281444,86695,bert,1298791,128,1,24251,24251,86695
88,1282384,61341,inception3,1302950,128,1,23940,23940,61341
89,1282399,43358,resnet50,1298578,256,1,23521,23521,43358
90,1305672,2182922,inception3,1552154,64,4,186683,186683,2182922
91,1307066,1644158,vgg16,1531340,128,4,188534,188534,1644158
92,1307455,66488,deepspeech2,1326854,32,1,21993,21993,66488
93,1307455,150819,resnet50,1322007,64,1,22040,22040,150819
94,1319234,3287941,gpt2,1591178,128,4,197281,197281,3287941
95,1322235,1546817,vgg16,1491879,128,4,177372,177372,1546817
96,1322761,124268,vgg16,1345509,64,1,24593,24593,124268
97,1322761,39036,deepspeech2,1356654,64,1,24399,24399,39036
98,1330834,1567738,vgg16,1475755,128,4,179771,179771,1567738
99,1330843,2181344,inception3,1588563,64,4,186548,186548,2181344
100,1362294,102175,gpt2,1385382,256,1,24937,24937,102175
101,1362333,150983,bert,1396238,64,1,25036,25036,150983
102,1388150,2292301,inception3,1508307,64,4,196037,196037,2292301
103,1422424,438271,resnet50,1450055,64,2,37021,37021,438271
104,1520982,2532,gpt2,1521515,256,1,618,618,2532
105,1565365,1251166,vgg16,1653471,128,4,143470,143470,1251166
106,1566328,1854354,gpt2,1913944,256,2,266440,266440,1854354
107,1571362,77368,inception3,1591136,128,1,30195,30195,77368
108,1571375,148673,bert,1596670,64,1,24653,24653,148673
109,1571742,1479643,inception3,1667889,128,4,189610,189610,1479643
110,1610864,25705,vgg16,1638542,256,1,19568,19568,25705
111,1610875,26031,vgg16,1630880,256,1,19816,19816,26031
112,1630983,109864,resnet50,1652044,64,1,16055,16055,109864
113,1630997,36045,resnet50,1641580,256,1,19554,19554,36045
114,1631317,73131,gpt2,1637730,128,4,4388,4388,73131
115,1631322,77381,gpt2,1635778,128,4,4643,4643,77381
116,1647890,30070,vgg16,1650148,64,4,2038,2038,30070
117,1651211,12802,resnet50,1653074,256,4,2068,2068,12802
118,1664217,56268,inception3,1692002,128,1,21960,21960,56268
119,1664218,159668,gpt2,1675489,128,1,21846,21846,159668
120,1667778,39438,deepspeech2,1684744,64,1,24650,24650,39438
121,1667783,39521,deepspeech2,1702487,64,1,24702,24702,39521
122,1668328,1003,deepspeech2,1669127,64,1,627,627,1003
123,1670135,1040,vgg16,1671258,256,1,792,792,1040
124,1670140,1139,resnet50,1670611,256,1,618,618,1139
125,1687101,70728,vgg16,1705891,256,4,15237,15237,70728
126,1687106,134910,vgg16,1710069,128,4,15470,15470,134910
127,1695296,1561965,vgg16,1843237,128,4,179109,179109,1561965
128,1696457,45754,resnet50,1724582,256,1,24821,24821,45754
129,1696457,99413,gpt2,1721645,256,1,24263,24263,99413
130,1716607,135703,gpt2,1730051,128,1,18567,18567,135703
131,1716609,51233,vgg16,1742615,128,1,19519,19519,51233
132,1721528,1507545,bert,1982761,128,4,178388,178388,1507545
133,1722100,1100237,resnet50,1939466,256,4,177721,177721,1100237
134,1743219,4396,vgg16,1743658,64,1,870,870,4396
135,1743558,3264,vgg16,1744355,64,1,646,646,3264
136,1777206,39745,resnet50,1778988,64,4,2172,2172,39745
137,1777206,38015,gpt2,1778749,128,4,2281,2281,38015
138,1784253,48863,deepspeech2,1801112,32,1,16163,16163,48863
139,1784253,112943,resnet50,1807210,64,1,16505,16505,112943
140,1819146,38034,deepspeech2,1850581,64,1,23773,23773,38034
141,1820628,113463,inception3,1849273,64,1,23537,23537,113463
142,1821515,764772,resnet50,1865310,128,4,68136,68136,764772
143,1821516,1333086,gpt2,1904907,128,4,79987,79987,1333086
144,1847078,799027,deepspeech2,2041028,64,2,269807,269807,799027
145,1904135,48497,deepspeech2,1923991,32,1,16042,16042,48497
146,1904139,57363,bert,1913902,128,1,16046,16046,57363
147,1905347,130877,bert,1929520,64,1,21702,21702,130877
148,1905356,40482,resnet50,1926251,256,1,21961,21961,40482
149,1907469,182720,gpt2,1939024,128,1,25000,25000,182720
150,1907471,64931,vgg16,1927765,128,1,24738,24738,64931
151,1920806,30897,vgg16,1922361,64,4,2094,2094,30897
152,1922368,10523,vgg16,1923629,256,4,2267,2267,10523
153,1927711,79101,deepspeech2,1949780,64,4,15059,15059,79101
154,1927712,172328,gpt2,1939896,256,4,15063,15063,172328
155,1932851,753464,vgg16,2050096,128,4,86399,86399,753464
156,1936352,877187,bert,1982087,64,4,84701,84701,877187
157,2013026,117745,vgg16,2037050,64,1,23302,23302,117745
158,2013046,141726,bert,2031578,64,1,23501,23501,141726
159,2017157,43299,resnet50,2037447,256,1,23489,23489,43299
160,2017175,161904,resnet50,2046271,64,1,23660,23660,161904
161,2036839,2119418,gpt2,2139380,256,4,185256,185256,2119418
162,2059484,223442,bert,2109551,64,1,37051,37051,223442
163,2063814,1001834,resnet50,2215338,256,4,161826,161826,1001834
164,2097269,825941,vgg16,2204678,256,4,177933,177933,825941
165,2129795,3385,vgg16,2130474,64,1,670,670,3385
166,2161106,22236,bert,2164693,128,1,6220,6220,22236
167,2161107,8484,vgg16,2164701,256,1,6459,6459,8484
168,2161132,170082,resnet50,2177715,64,1,24855,24855,170082
169,2161132,124764,vgg16,2196074,64,1,24691,24691,124764
170,2161425,69579,resnet50,2175605,64,1,10168,10168,69579
171,2161425,73490,gpt2,2172908,128,1,10055,10055,73490
172,2161666,32009,inception3,2166606,64,1,6640,6640,32009
173,2161666,12227,resnet50,2166405,256,1,6633,6633,12227
174,2247257,39885,vgg16,2272810,256,1,30362,30362,39885
175,2247257,61136,vgg16,2262280,128,1,23292,23292,61136
176,2247322,82759,bert,2275619,128,1,23150,23150,82759
177,2247429,126677,bert,2298385,128,1,35435,35435,126677
178,2248491,114148,inception3,2267201,64,1,23679,23679,114148
179,2257491,3163,vgg16,2258052,64,1,626,626,3163
180,2302903,2466,bert,2303831,128,1,690,690,2466
181,2352993,1896592,resnet50,2463078,64,4,103645,103645,1896592
182,2359902,989421,vgg16,2483282,128,4,113456,113456,989421
183,2360615,64600,inception3,2389827,128,1,25212,25212,64600
184,2360616,1360272,resnet50,2443894,128,4,121191,121191,1360272
185,2360616,1346928,inception3,2525969,64,4,115189,115189,1346928
186,2360616,514846,resnet50,2423408,256,4,83163,83163,514846
187,2360617,1838121,vgg16,2537255,64,4,124576,124576,1838121
188,2360617,679074,deepspeech2,2470792,32,4,90016,90016,679074
189,2360619,698030,bert,2446374,128,4,82598,82598,698030
190,2360619,683804,bert,2446352,64,4,66028,66028,683804
191,2360620,967593,resnet50,2426322,128,4,86206,86206,967593
192,2360620,721532,bert,2444405,128,4,85379,85379,721532
193,2360624,1233509,inception3,2478755,128,4,158069,158069,1233509
194,2360625,1003915,vgg16,2419969,128,4,115118,115118,1003915
195,2360646,815185,bert,2418062,128,4,96461,96461,815185
196,2360646,1038710,resnet50,2438968,128,4,92542,92542,1038710
197,2361910,3138531,resnet50,2732705,64,2,265113,265113,3138531
198,2386703,2238945,inception3,2604507,64,4,191474,191474,2238945
199,2388654,1251,resnet50,2389123,256,1,679,679,1251
200,2391840,113367,gpt2,2406584,128,1,15511,15511,113367
201,2478146,2094,vgg16,2478713,128,1,798,798,2094
202,2495057,35404,deepspeech2,2527488,64,1,22129,22129,35404
203,2505721,133597,bert,2525537,64,1,22153,22153,133597
204,2545486,85984,deepspeech2,2575882,32,1,28442,28442,85984
205,2545511,73466,inception3,2561528,128,1,28672,28672,73466
206,2546184,115635,gpt2,2568676,256,1,28222,28222,115635
207,2548010,173785,bert,2573894,64,1,28817,28817,173785
208,2551437,70647,inception3,2591969,128,1,27572,27572,70647
209,2551448,84433,deepspeech2,2567850,32,1,27929,27929,84433
210,2561761,167809,bert,2592646,64,1,27826,27826,167809
211,2561775,101413,bert,2584350,128,1,28368,28368,101413
212,2574992,2094110,resnet50,2757049,128,4,186571,186571,2094110
213,2579225,3812306,resnet50,2761529,64,4,208335,208335,3812306
214,2584996,3195598,vgg16,2724139,64,4,216577,216577,3195598
215,2591838,2481978,gpt2,2859896,256,4,216947,216947,2481978
216,2636760,1818724,resnet50,2823906,128,4,162036,162036,1818724
217,2644740,1043,deepspeech2,2645432,64,1,652,652,1043
218,2711038,112980,vgg16,2749692,128,1,43044,43044,112980
219,2724456,2833628,vgg16,2833582,64,4,192045,192045,2833628
220,2728286,1399337,vgg16,3062230,128,2,287125,287125,1399337
221,2731218,3026,resnet50,2731994,128,1,828,828,3026
222,2731220,5665,resnet50,2731895,64,1,828,828,5665
223,2737914,123450,vgg16,2771178,64,1,24431,24431,123450
224,2737938,100179,gpt2,2771276,256,1,24450,24450,100179
225,2738675,99983,gpt2,2756131,256,1,24402,24402,99983
226,2738683,123076,vgg16,2767153,64,1,24357,24357,123076
227,2738836,87153,bert,2772980,128,1,24379,24379,87153
228,2738836,168569,resnet50,2762745,64,1,24634,24634,168569
229,2758116,41268,inception3,2775783,128,1,16106,16106,41268
230,2763018,1576248,resnet50,2912466,256,4,254611,254611,1576248
231,2765561,1898312,resnet50,2859970,64,4,103739,103739,1898312
232,2777686,24836,inception3,2778798,64,4,2124,2124,24836
233,2778950,19490,vgg16,2782272,128,4,2235,2235,19490
234,2779788,813590,deepspeech2,2888453,32,4,107847,107847,813590
235,2810910,1850,resnet50,2811598,256,1,1004,1004,1850
236,2820995,1011545,deepspeech2,3096887,64,4,192574,192574,1011545
237,2821065,1538,vgg16,2822762,256,1,1171,1171,1538
238,2821066,3673,resnet50,2821952,128,1,1005,1005,3673
239,2821972,82844,vgg16,2845890,64,1,16395,16395,82844
240,2821972,26153,deepspeech2,2837251,64,1,16347,16347,26153
241,2824613,73368,bert,2835966,128,1,20523,20523,73368
242,2824613,54737,deepspeech2,2844103,32,1,18106,18106,54737
243,2827652,515175,deepspeech2,2898901,64,4,98077,98077,515175
244,2831461,47339,resnet50,2848709,256,1,25681,25681,47339
245,2831484,152310,bert,2859157,64,1,25256,25256,152310
246,2831570,120082,inception3,2860396,64,1,24910,24910,120082
247,2836521,804218,vgg16,2937651,128,4,92219,92219,804218
248,2840204,20930,bert,2842194,64,4,2021,2021,20930
249,2843377,15732,inception3,2845625,128,4,2016,2016,15732
250,2843510,9098,vgg16,2845426,256,4,1960,1960,9098
251,2847602,10509,vgg16,2850145,256,4,2264,2264,10509
252,2851413,2167,inception3,2852067,128,1,846,846,2167
253,2904763,2037,inception3,2905409,128,1,795,795,2037
254,2905860,42327,vgg16,2919957,128,1,16126,16126,42327
255,2905861,41844,inception3,2926867,128,1,16331,16331,41844
256,2922459,10663,deepspeech2,2924367,64,4,2030,2030,10663
257,2926520,37933,resnet50,2928729,64,4,2073,2073,37933
258,2931823,103565,inception3,2966481,128,1,40419,40419,103565
259,2931840,105507,inception3,2955315,128,1,41177,41177,105507
260,2971942,571550,deepspeech2,3103503,64,2,192995,192995,571550
261,2973384,1130671,resnet50,3155395,256,4,182637,182637,1130671
262,2974036,319997,vgg16,3039826,256,2,126848,126848,319997
263,2974311,944262,deepspeech2,3105926,64,4,179765,179765,944262
264,2989074,26496,deepspeech2,3011497,64,1,16561,16561,26496
265,2989075,66860,gpt2,3013373,256,1,16318,16318,66860
266,2991493,1838,deepspeech2,2992343,32,1,608,608,1838
267,2998773,91074,bert,3034214,128,1,25476,25476,91074
268,2998774,33143,vgg16,3025579,256,1,25230,25230,33143
269,3006294,46735,resnet50,3008228,64,4,2554,2554,46735
270,3007080,12238,deepspeech2,3009901,64,4,2330,2330,12238
271,3021108,253240,vgg16,3039105,64,4,17163,17163,253240
272,3025374,703429,resnet50,3062700,64,4,38441,38441,703429
273,3027806,774868,resnet50,3072295,64,4,42345,42345,774868
274,3072212,101743,bert,3088533,64,1,16871,16871,101743
275,3072212,26917,deepspeech2,3090521,64,1,16824,16824,26917
276,3076202,719235,vgg16,3149030,128,4,82474,82474,719235
277,3078614,845051,bert,3174801,128,4,99995,99995,845051
278,3079751,64902,vgg16,3107122,128,1,24727,24727,64902
279,3082227,2260539,resnet50,3201011,64,4,123534,123534,2260539
280,3089337,179472,bert,3120585,128,4,21237,21237,179472
281,3089347,160776,deepspeech2,3109064,32,4,21312,21312,160776
282,3092021,105293,gpt2,3119521,256,1,25698,25698,105293
283,3105066,1912401,bert,3331304,64,4,184661,184661,1912401
284,3107496,56330,bert,3123617,128,1,15757,15757,56330
285,3118878,922526,deepspeech2,3310142,64,4,175627,175627,922526
286,3124356,808224,gpt2,3416472,256,1,197256,197256,808224
287,3127777,2558358,vgg16,3238937,64,4,173389,173389,2558358
288,3127782,2933315,gpt2,3269107,128,4,176003,176003,2933315
289,3164923,963,deepspeech2,3165431,64,1,602,602,963
290,3249391,4365,resnet50,3250347,64,1,638,638,4365
291,3360917,75660,deepspeech2,3394414,32,1,25027,25027,75660
292,3360972,210736,resnet50,3381337,64,1,30796,30796,210736
293,3363744,35855,deepspeech2,3378261,64,1,22411,22411,35855
