name,time,application,num_replicas,batch_size,ddl
cifar10-0,3715485,cifar10,1,4096,3719996
ncf-1,3717550,ncf,8,32768,3717583
yolov3-2,3721209,yolov3,1,64,3758928
ncf-3,3721260,ncf,1,32768,3721296
ncf-4,3721263,ncf,1,32768,3721307
deepspeech2-5,3721346,deepspeech2,1,320,3740746
imagenet-6,3721372,imagenet,8,6400,3849181
ncf-7,3721372,ncf,8,32768,3721428
deepspeech2-8,3721433,deepspeech2,1,640,3760411
cifar10-9,3721556,cifar10,8,2048,3722777
deepspeech2-10,3721556,deepspeech2,8,320,3723662
yolov3-11,3721567,yolov3,8,64,3740837
deepspeech2-12,3721578,deepspeech2,8,320,3725251
imagenet-13,3724269,imagenet,1,3200,4234220
imagenet-14,3725434,imagenet,1,6400,4133696
yolov3-15,3725453,yolov3,1,64,3749955
yolov3-16,3725473,yolov3,1,64,3746246
imagenet-17,3725498,imagenet,1,3200,4184632
deepspeech2-18,3725512,deepspeech2,1,320,3743863
ncf-19,3725718,ncf,1,32768,3725753
yolov3-20,3725752,yolov3,1,64,3763979
imagenet-21,3725812,imagenet,1,3200,4102288
imagenet-22,3726141,imagenet,4,3200,3918421
yolov3-23,3726175,yolov3,4,64,3735911
ncf-24,3726184,ncf,4,32768,3726204
bert-25,3726192,bert,4,384,3730043
cifar10-26,3726227,cifar10,4,4096,3727644
imagenet-27,3726239,imagenet,4,6400,3982340
ncf-28,3726264,ncf,4,32768,3726298
bert-29,3726405,bert,4,384,3730602
yolov3-30,3726517,yolov3,4,64,3742010
imagenet-31,3726831,imagenet,1,3200,4223767
deepspeech2-32,3730004,deepspeech2,4,640,3740667
cifar10-33,3730108,cifar10,1,4096,3735912
yolov3-34,3730857,yolov3,8,64,3762045
cifar10-35,3733274,cifar10,1,4096,3736471
cifar10-36,3733366,cifar10,1,4096,3738291
cifar10-37,3733401,cifar10,1,2048,3737297
cifar10-38,3733405,cifar10,1,2048,3738480
ncf-39,3733548,ncf,1,32768,3733572
imagenet-40,3733772,imagenet,1,6400,4777160
ncf-41,3737478,ncf,1,32768,3737498
deepspeech2-42,3740819,deepspeech2,1,640,3776121
yolov3-43,3742528,yolov3,1,64,3781197
yolov3-44,3743222,yolov3,1,64,3763368
deepspeech2-45,3744271,deepspeech2,8,320,3748348
deepspeech2-46,3744449,deepspeech2,1,640,3786467
bert-47,3744534,bert,1,384,3757497
ncf-48,3744539,ncf,1,32768,3744582
imagenet-49,3744599,imagenet,1,6400,4225159
deepspeech2-50,3744645,deepspeech2,1,320,3760356
imagenet-51,3745177,imagenet,1,6400,4773193
ncf-52,3745428,ncf,1,32768,3745475
imagenet-53,3746451,imagenet,8,3200,3856989
cifar10-54,3747419,cifar10,1,2048,3751797
bert-55,3747668,bert,1,384,3760563
deepspeech2-56,3748109,deepspeech2,4,640,3755324
cifar10-57,3748578,cifar10,1,4096,3751489
imagenet-58,3749539,imagenet,1,6400,4470779
yolov3-59,3749547,yolov3,1,64,3796224
imagenet-60,3754804,imagenet,1,6400,4467660
bert-61,3755548,bert,1,384,3771136
ncf-62,3755643,ncf,1,32768,3755679
imagenet-63,3755662,imagenet,1,3200,4073443
bert-64,3755764,bert,1,384,3775008
imagenet-65,3756388,imagenet,1,3200,4209801
yolov3-66,3757778,yolov3,1,64,3781543
imagenet-67,3758174,imagenet,1,6400,4715683
cifar10-68,3758334,cifar10,1,2048,3760865
deepspeech2-69,3758766,deepspeech2,1,320,3783116
cifar10-70,3760025,cifar10,1,2048,3764613
bert-71,3762189,bert,1,384,3779123
cifar10-72,3762198,cifar10,1,2048,3765955
yolov3-73,3762236,yolov3,1,64,3795878
imagenet-74,3763468,imagenet,1,3200,4588130
yolov3-75,3764629,yolov3,1,64,3808144
deepspeech2-76,3765479,deepspeech2,1,640,3793773
cifar10-77,3765788,cifar10,4,4096,3767601
imagenet-78,3766675,imagenet,4,6400,4006074
imagenet-79,3766683,imagenet,4,6400,3958378
cifar10-80,3766782,cifar10,4,2048,3768614
cifar10-81,3766791,cifar10,4,2048,3767499
cifar10-82,3766797,cifar10,4,2048,3767899
bert-83,3766813,bert,4,384,3768913
deepspeech2-84,3766817,deepspeech2,4,640,3774582
imagenet-85,3767003,imagenet,4,3200,3857979
cifar10-86,3767004,cifar10,4,4096,3768766
cifar10-87,3767060,cifar10,4,4096,3768317
deepspeech2-88,3767078,deepspeech2,4,640,3775721
yolov3-89,3767086,yolov3,4,64,3779619
yolov3-90,3767087,yolov3,4,64,3774505
bert-91,3767100,bert,4,384,3770680
deepspeech2-92,3767101,deepspeech2,4,320,3771697
bert-93,3767116,bert,4,384,3770908
imagenet-94,3767140,imagenet,4,6400,3884071
deepspeech2-95,3767148,deepspeech2,4,320,3770447
imagenet-96,3767157,imagenet,4,3200,3994633
bert-97,3767179,bert,4,384,3771941
deepspeech2-98,3767212,deepspeech2,4,320,3773616
cifar10-99,3767256,cifar10,4,2048,3768549
cifar10-100,3767270,cifar10,4,2048,3768702
imagenet-101,3767280,imagenet,4,6400,3942066
ncf-102,3767281,ncf,4,32768,3767302
imagenet-103,3767297,imagenet,4,3200,3868526
ncf-104,3767306,ncf,4,32768,3767344
ncf-105,3767307,ncf,4,32768,3767323
cifar10-106,3767307,cifar10,4,4096,3768792
cifar10-107,3767307,cifar10,4,4096,3769233
imagenet-108,3767316,imagenet,4,6400,3908010
ncf-109,3767614,ncf,4,32768,3767647
imagenet-110,3770473,imagenet,8,6400,3915246
bert-111,3770473,bert,8,384,3772539
deepspeech2-112,3770475,deepspeech2,8,640,3773407
yolov3-113,3772342,yolov3,1,64,3813144
cifar10-114,3774441,cifar10,1,4096,3780254
imagenet-115,3776502,imagenet,1,6400,4620270
deepspeech2-116,3776602,deepspeech2,2,320,3783808
imagenet-117,3786671,imagenet,1,3200,4662744
deepspeech2-118,3789974,deepspeech2,8,320,3795089
ncf-119,3796868,ncf,8,32768,3796916
yolov3-120,3801152,yolov3,1,64,3825573
bert-121,3805242,bert,1,384,3819509
yolov3-122,3809382,yolov3,8,64,3831679
deepspeech2-123,3809382,deepspeech2,8,320,3812789
bert-124,3809382,bert,8,384,3810928
yolov3-125,3809383,yolov3,8,64,3838636
bert-126,3809384,bert,8,384,3811965
imagenet-127,3809389,imagenet,8,6400,3925622
deepspeech2-128,3813244,deepspeech2,1,640,3849784
cifar10-129,3813258,cifar10,1,4096,3818091
deepspeech2-130,3815724,deepspeech2,1,320,3840090
imagenet-131,3818013,imagenet,8,3200,3896762
imagenet-132,3818014,imagenet,8,6400,3885356
ncf-133,3818014,ncf,8,32768,3818068
bert-134,3818147,bert,8,384,3821604
deepspeech2-135,3818147,deepspeech2,8,320,3822723
imagenet-136,3818255,imagenet,8,6400,3958513
bert-137,3818256,bert,8,384,3820846
yolov3-138,3821474,yolov3,16,64,3832082
cifar10-139,3821725,cifar10,16,2048,3822249
bert-140,3822106,bert,16,384,3823438
deepspeech2-141,3824184,deepspeech2,1,640,3860084
ncf-142,3829875,ncf,1,32768,3829916
yolov3-143,3832797,yolov3,1,64,3868887
bert-144,3834467,bert,1,384,3842599
cifar10-145,3834495,cifar10,1,4096,3838966
imagenet-146,3834506,imagenet,1,3200,4291254
imagenet-147,3844331,imagenet,1,6400,4396340
ncf-148,3850654,ncf,1,32768,3850673
ncf-149,3850679,ncf,1,32768,3850703
cifar10-150,3850703,cifar10,1,2048,3855082
cifar10-151,3850750,cifar10,1,2048,3853722
bert-152,3851262,bert,1,384,3866700
cifar10-153,3851270,cifar10,1,2048,3854495
cifar10-154,3851272,cifar10,1,2048,3854963
ncf-155,3854186,ncf,1,32768,3854219
deepspeech2-156,3854208,deepspeech2,1,640,3888565
bert-157,3854229,bert,1,384,3873535
imagenet-158,3858680,imagenet,1,6400,4490266
bert-159,3859669,bert,1,384,3876360
ncf-160,3859688,ncf,1,32768,3859733
imagenet-161,3859711,imagenet,1,3200,4600139
imagenet-162,3860166,imagenet,1,3200,4243560
imagenet-163,3860191,imagenet,1,3200,4366795
cifar10-164,3860212,cifar10,1,4096,3868353
cifar10-165,3860913,cifar10,1,4096,3863963
deepspeech2-166,3860935,deepspeech2,1,320,3889034
imagenet-167,3860956,imagenet,1,3200,4767049
yolov3-168,3861010,yolov3,1,64,3896656
deepspeech2-169,3861045,deepspeech2,1,320,3889268
yolov3-170,3861088,yolov3,1,64,3889838
ncf-171,3862199,ncf,4,32768,3862219
imagenet-172,3871955,imagenet,1,3200,4787891
cifar10-173,3871956,cifar10,1,4096,3880196
bert-174,3871956,bert,1,384,3886651
cifar10-175,3871956,cifar10,1,2048,3874776
cifar10-176,3871956,cifar10,1,2048,3874221
imagenet-177,3871956,imagenet,1,3200,4648489
deepspeech2-178,3871956,deepspeech2,1,640,3902096
bert-179,3871958,bert,1,384,3881063
cifar10-180,3872015,cifar10,1,4096,3875423
cifar10-181,3872021,cifar10,1,2048,3874370
ncf-182,3872099,ncf,1,32768,3872128
ncf-183,3872103,ncf,1,32768,3872127
ncf-184,3872108,ncf,1,32768,3872126
yolov3-185,3873061,yolov3,1,64,3905516
deepspeech2-186,3874405,deepspeech2,1,320,3887853
bert-187,3874434,bert,1,384,3893772
cifar10-188,3875031,cifar10,1,2048,3879251
ncf-189,3875042,ncf,1,32768,3875088
bert-190,3884135,bert,1,384,3901286
cifar10-191,3884864,cifar10,1,2048,3888328
imagenet-192,3885937,imagenet,1,3200,4413684
bert-193,3886366,bert,1,384,3902921
imagenet-194,3887530,imagenet,1,6400,4948376